pid,project_id,authors,sort_year,title,location,host,pres_date,type,url
prs_45,,"Zoss, Angela M.",2017,Data Visualization with Excel,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Fall 2016 to Fall 2017,Workshop,
prs_46,,"Zoss, Angela M. and Monson, Eric",2017,Designing Academic Figures and Posters,"Beaufort, NC","Duke University Marine Lab, Research Experience for Undergraduates in Estuarine and Coastal Marine Systems","July 1, 2017",Full-day workshop for undergraduates,
prs_47,,"Zoss, Angela M.",2017,Introduction to data and visualization for humanities scholars,"Knoxville, TN","the Digital Scholarship Bootcamp, hosted by University of Tennessee, Knoxville","May 1, 2017",Three-day course,
prs_48,,"Zoss, Angela M.",2017,Introduction to data visualization,"Raleigh, NC","the Data Science and Visualization Institute for Librarians, sponsored by North Carolina State University","April 1, 2017",One-day course for library professionals,
prs_49,,"Zoss, Angela M.",2017,Introduction to Tableau Public,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Fall 2012 to Spring 2017,Workshop,
prs_50,,"Zoss, Angela M.",2017,Network Visualization Literacy,"Bloomington, IN",Indiana University Network Science Institute Open Science Forum,"November 1, 2017",Presentation,
prs_51,,"Zoss, Angela M. and Monson, Eric",2017,Practical Data Visualization,"Durham, NC",Bass Connections course called Energy Data Analytics Lab,"March 23, 2017",Guest lecture,
prs_52,,"Zoss, Angela M.",2017,Visual narratives: Storytelling with visuals for effective research presentations,"Durham, NC",Duke Global Challenge,"February 7, 2017",Presentation,
prs_53,,"Zoss, Angela M.",2017,Visualization for Data Science,offered online,"DataBytes series, sponsored by the National Consortium for Data Science","May 3, 2017",Webinar,
prs_54,,"Zoss, Angela M.",2017,Visualization for data science in R,"Raleigh, NC","Data Matters Data Science Short Course Series, sponsored by the National Consortium for Data Science, The Odum Institute, and RENCI","August 1, 2017",Two-day course,
prs_55,,"Zoss, Angela M.",2017,Visualization week,"Sarasota Springs, NY",Project VIS at Skidmore College,"January 1, 2017",Week-long residency,
prs_56,,"Zoss, Angela M.",2017,Visualizing Qualitative Data,"Durham, NC",graduate Environment course on Applied Qualitative Research Methods,"October 25, 2017",Guest lecture,
prs_57,,"Zoss, Angela M. and Little, John",2016,Basic Data Cleaning and Analysis for Data Tables,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Fall 2014 to Spring 2016,Workshop,
prs_58,,"Zoss, Angela M. and Monson, Eric",2016,Basic principles for effective data visualization,"Durham, NC",Duke Pratt School of Engineering – PhDPlus Series,"September 20, 2016",Presentation,
prs_59,,"Beyer, Johanna, Domik, Gitta, Johnson, Andrew and Zoss, Angela M.",2016,Curriculum Design,"Baltimore, MD",Pedagogy of Data Visualization Workshop at IEEE VIS 2016,"October 23, 2016",Accepted member of panel,
prs_60,,"Zoss, Angela M. and Monson, Eric",2016,Data Visualization & Exploration,"Durham, NC",undergraduate Statistical Science course on Data Science,"September 13 and 15, 2016",Two-part guest lecture and activity,
prs_61,,"Zoss, Angela M. and Monson, Eric",2016,Data Visualization & Exploration,"Durham, NC",graduate Statistical Science course on Programming for Statistical Science,"September 26 and 28, 2016",Two-part guest lecture and activity,
prs_62,,"Zoss, Angela M.",2016,Data Visualization 2: Designing and Reworking,"Durham, NC",undergraduate Math course called Math Everywhere,"February 11, 2016",Guest lecture and activity,
prs_63,,"Zoss, Angela M.",2016,Data Visualization Support,offered online,Oklahoma State University Libraries,"December 14, 2016",Invited webinar,
prs_64,,"Zoss, Angela M. and Monson, Eric",2016,Designing Academic Figures and Posters,"Beaufort, NC","Duke University Marine Lab, Research Experience for Undergraduates in Estuarine and Coastal Marine Systems","June 1, 2016",Full-day workshop for undergraduates,
prs_65,,"Zoss, Angela M.",2016,Introduction to data visualization,"Raleigh, NC","the Data Science and Visualization Institute for Librarians, sponsored by North Carolina State University","May 1, 2016",One-day course for library professionals,
prs_66,,"Zoss, Angela M.",2016,Introduction to Data Visualization,"Durham, NC",undergraduate course on Environment and Conflict,"February 2, 2016",Guest lecture,
prs_67,,"Zoss, Angela M.",2016,Introduction to Data Visualization,"Durham, NC",undergraduate course on Environment and Conflict,"October 4, 2016",Guest lecture,
prs_68,,"Zoss, Angela M. and White, Russ",2016,Introduction to data visualization,"Long Beach, CA","Special Libraries Association Southern California Chapter, Professional Development Day","September 1, 2016",Full-day workshop,
prs_69,,"Zoss, Angela M.",2016,Introduction to information visualization,"Chapel Hill, NC","Data Matters Data Science Short Course Series, sponsored by the National Consortium for Data Science, The Odum Institute, and RENCI","June 1, 2016",Two-day course,
prs_70,,"Zoss, Angela M.",2016,Introduction to Tableau,"Durham, NC",graduate Environment course on Sustainable Systems,"September 28 and October 3, 2016",Two-part guest lecture,
prs_71,,"Zoss, Angela M.",2016,Making Data Visual,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Spring 2016 to Fall 2016,Workshop,
prs_72,,"Joque, Justin, Rutkowski, Andy  and Zoss, Angela M.",2016,Making sense of data through visualization,"Orlando, FL",Annual meeting of the American Library Association,"June 1, 2016",Full-day pre-conference program,
prs_73,,"Zoss, Angela M.",2015,‘Places & Spaces: Mapping Science’ at Duke,"Durham, NC",the Duke University Libraries First Wednesday Series,"February 4, 2015",Presentation,
prs_74,,"Zoss, Angela M.",2015,‘Places & Spaces: Mapping Science’ at Duke,"Durham, NC",the Duke Media Arts + Sciences Rendezvous,"January 29, 2015",Presentation,
prs_75,,"Zoss, Angela M.",2015,Basic Data Visualization,"Durham, NC",undergraduate Economics course on Social Inequalities/Low-wage Work,"April 1, 2015",Guest lecture,
prs_76,,"Zoss, Angela M.",2015,Data Visualization and Scientific Presentations,"Durham, NC",Doctoral Seminar in Nursing Science,"November 3, 2015",Guest lecture,
prs_77,,"Joque, Justin and Zoss, Angela M.",2015,"Data visualization in the library: Collections, tools, and scalable services","San Francisco, CA",Annual meeting of the American Library Association,"June 1, 2015",Half-day conference program,
prs_78,,"Zoss, Angela M.",2015,Data Visualization Tips and Tools,"Durham, NC",Bass Connections course on Effects of Shale Gas Development,"October 19, 2015",Guest lecture,
prs_79,,"Zoss, Angela M. and Monson, Eric",2015,Designing Academic Figures and Posters,"Beaufort, NC","Duke University Marine Lab, Research Experience for Undergraduates in Estuarine and Coastal Marine Systems","June 1, 2015",Full-day workshop for undergraduates,
prs_80,,"Zoss, Angela M.",2015,How to Lie with Data Visualizations,"Durham, NC",undergraduate Math course called Math Everywhere,"April 16, 2015",Guest lecture,
prs_81,,"Zoss, Angela M.",2015,Information Visualization and Tableau,"Durham, NC",graduate course on Historical and Cultural Visualization,"October 2, 2015",Guest lecture,
prs_82,,"Zoss, Angela M.",2015,Introduction to data visualization,"Raleigh, NC",North Carolina State University Libraries’ week-long series of data science short courses,"October 1, 2015",One-day course for NCSU library staff,
prs_83,,"Zoss, Angela M.",2015,Introduction to information visualization,"Chapel Hill, NC","Data Matters Data Science Short Course Series, sponsored by the National Consortium for Data Science, The Odum Institute, and RENCI","June 1, 2015",Two-day course,
prs_84,,"Zoss, Angela M.",2015,Introduction to Tableau,"Durham, NC",graduate Environment course on Sustainable Systems,"September 22 and 24, 2015",Two-part guest lecture,
prs_85,,"Zoss, Angela M.",2015,Introduction to Tableau Public,"Durham, NC",graduate Environment course on Sustainable Systems,"February 24, 2015",Guest lecture,
prs_86,,"Zoss, Angela M.",2015,Maps of Science exhibit tour,"Durham, NC",the Duke Visualization Friday Forum,"January 23, 2015",Presentation,
prs_87,,"Zoss, Angela M.",2015,Practical Data Visualization,"Durham, NC",undergraduate Computer Science course called Everything Data,"March 18, 2015",Guest lecture and visualization contest,
